,release_date,release_year,title,genre,prod_method,creative_type,budget,dom_gross,int_gross,world_gross,release_month
239,2012-12-25,2012,Parental Guidance,Adventure,Live Action,Contemporary Fiction,25000000,77267296,43565087,120832383,December
240,2012-03-09,2012,John Carter,Adventure,Live Action,Science Fiction,263700000,73058679,209719421,282778100,March
241,2012-02-24,2012,Act of Valor,Action,Live Action,Contemporary Fiction,12000000,70012847,12484188,82497035,February
242,2012-12-21,2012,This is 40,Comedy,Live Action,Contemporary Fiction,35000000,67544505,22676677,90221182,December
243,2012-01-13,2012,Contraband,Action,Live Action,Contemporary Fiction,25000000,66528000,31878855,98406855,January
244,2012-09-28,2012,Looper,Action,Live Action,Science Fiction,30000000,66486205,103980200,170466405,September
245,2012-06-29,2012,Tyler Perry's Madea's Witness Protection,Comedy,Live Action,Contemporary Fiction,20000000,65653242,1297645,66950887,June
246,2012-05-18,2012,Battleship,Action,Live Action,Contemporary Fiction,220000000,65233400,248244317,313477717,May
247,2012-09-28,2012,Pitch Perfect,Comedy,Live Action,Contemporary Fiction,17000000,65001093,51043254,116044347,September
248,2012-03-30,2012,Mirror Mirror,Adventure,Live Action,Fantasy,85000000,64935167,108678315,173613482,March
249,2012-02-03,2012,Chronicle,Thriller/Suspense,Live Action,Science Fiction,12000000,64575175,59106615,123681790,February
250,2012-08-08,2012,Hope Springs,Romantic Comedy,Live Action,Contemporary Fiction,30000000,63536011,69549284,133085295,August
251,2012-01-20,2012,Underworld: Awakening,Action,Live Action,Fantasy,70000000,62321039,98058891,160379930,January
252,2012-04-20,2012,The Lucky One,Drama,Live Action,Contemporary Fiction,25000000,60457138,36176695,96633833,April
253,2012-05-16,2012,The Dictator,Comedy,Live Action,Contemporary Fiction,65000000,59650222,120498675,180148897,May
254,2012-08-03,2012,Total Recall,Action,Live Action,Science Fiction,125000000,58877969,152978119,211856088,August
255,2012-04-06,2012,American Reunion,Comedy,Live Action,Contemporary Fiction,50000000,56758835,180040376,236799211,April
256,2012-08-17,2012,ParaNorman,Adventure,Stop-Motion Animation,Kids Fiction,60000000,56003051,52116611,108119662,August
257,2012-02-17,2012,This Means War,Romantic Comedy,Live Action,Contemporary Fiction,65000000,54760791,102213766,156974557,February
258,2012-03-02,2012,Project X,Comedy,Live Action,Contemporary Fiction,12000000,54731865,48296323,103028188,March
259,2012-02-03,2012,The Woman in Black,Thriller/Suspense,Live Action,Fantasy,15000000,54333290,74622608,128955898,February
260,2012-10-19,2012,Paranormal Activity 4,Horror,Live Action,Fantasy,5000000,53900335,88917657,142817992,October
261,2012-01-06,2012,The Devil Inside,Horror,Live Action,Fantasy,1000000,53262945,48496545,101759490,January
262,2012-08-15,2012,The Odd Life of Timothy Green,Drama,Live Action,Fantasy,40000000,51853450,3395709,55249159,August
263,2012-02-17,2012,Ghost Rider: Spirit of Vengeance,Action,Live Action,Contemporary Fiction,57000000,51774002,97443353,149217355,February
264,2012-01-27,2012,The Grey,Thriller/Suspense,Live Action,Contemporary Fiction,25000000,51580136,29669040,81249176,January
265,2012-01-20,2012,Red Tails,Action,Live Action,Historical Fiction,58000000,49876377,489121,50365498,January
266,2012-08-31,2012,The Possession,Horror,Live Action,Fantasy,14000000,49130588,33794476,82925064,August
267,2012-08-03,2012,Diary of a Wimpy Kid: Dog Days,Adventure,Live Action,Kids Fiction,22000000,49008662,28221033,77229695,August
268,2012-10-12,2012,Sinister,Horror,Live Action,Contemporary Fiction,3000000,48086903,39640904,87727807,October
269,2012-07-06,2012,Savages,Thriller/Suspense,Live Action,Contemporary Fiction,45000000,47323100,35190390,82513490,July
270,2012-05-04,2012,The Best Exotic Marigold Hotel,Comedy,Live Action,Contemporary Fiction,10000000,46383639,88256141,134639780,May
271,2012-05-25,2012,Moonrise Kingdom,Drama,Live Action,Historical Fiction,16000000,45512466,23335980,68848446,May
272,2012-10-12,2012,Here Comes the Boom,Comedy,Live Action,Contemporary Fiction,42000000,45290318,27948940,73239258,October
273,2012-11-21,2012,Red Dawn,Action,Live Action,Contemporary Fiction,65000000,44806783,3357367,48164150,November
274,2012-04-13,2012,The Three Stooges,Adventure,Live Action,Contemporary Fiction,30000000,44338224,9714025,54052249,April
275,2012-09-14,2012,Resident Evil: Retribution,Horror,Live Action,Science Fiction,65000000,42345531,198302098,240647629,September
276,2012-04-13,2012,The Cabin in the Woods,Thriller/Suspense,Live Action,Fantasy,30000000,42073277,28616691,70689968,April
277,2012-05-18,2012,What to Expect When You're Expecting,Romantic Comedy,Live Action,Contemporary Fiction,37500000,41152203,47320813,88473016,May
278,2012-09-21,2012,End of Watch,Thriller/Suspense,Live Action,Contemporary Fiction,15000000,41003371,16583235,57586606,September
279,2012-06-15,2012,Rock of Ages,Musical,Live Action,Contemporary Fiction,70000000,38518613,22513319,61031932,June
280,2012-06-22,2012,Abraham Lincoln: Vampire Hunter,Horror,Live Action,Fantasy,67500000,37519139,99970591,137489730,June
281,2012-08-29,2012,Lawless,Drama,Live Action,Historical Fiction,26000000,37397291,16996396,54393687,August
282,2012-12-19,2012,The Guilt Trip,Comedy,Live Action,Contemporary Fiction,40000000,37134215,4160459,41294674,December
283,2012-06-15,2012,That's My Boy,Comedy,Live Action,Contemporary Fiction,57500000,36931089,21154146,58085235,June
284,2012-09-21,2012,Trouble with the Curve,Drama,Live Action,Contemporary Fiction,60000000,35763137,12055776,47818913,September
285,2012-10-05,2012,Frankenweenie,Adventure,Stop-Motion Animation,Fantasy,39000000,35287788,45863000,81150788,October
286,2012-07-27,2012,Step Up Revolution,Drama,Live Action,Contemporary Fiction,33000000,35074677,130477613,165552290,July
287,2012-02-24,2012,Tyler Perry's Good Deeds,Drama,Live Action,Contemporary Fiction,14000000,35025791,553386,35579177,February
288,2012-07-27,2012,The Watch,Comedy,Live Action,Contemporary Fiction,55000000,34353000,32777045,67130045,July
289,2012-07-13,2012,2016: Obamaâs America,Documentary,Live Action,Factual,2500000,33349941,0,33349941,July
290,2012-09-21,2012,House at the End of the Street,Horror,Live Action,Contemporary Fiction,6900000,31611916,12492066,44103982,September
291,2012-04-27,2012,The Pirates! Band of Misfits,Adventure,Stop-Motion Animation,Kids Fiction,55000000,31051126,105092479,136143605,April
292,2012-01-13,2012,Joyful Noise,Musical,Live Action,Contemporary Fiction,27500000,30932113,225801,31157914,January
293,2012-01-13,2012,The Iron Lady,Drama,Live Action,Dramatization,14000000,29959436,85632668,115592104,January
294,2012-04-20,2012,Chimpanzee,Documentary,Live Action,Factual,0,28965459,7869364,36834823,April
295,2012-04-27,2012,The Five-Year Engagement,Romantic Comedy,Live Action,Contemporary Fiction,30000000,28700285,32923534,61623819,April
296,2012-10-26,2012,Cloud Atlas,Drama,Live Action,Multiple Creative Types,102000000,27108272,103564882,130673154,October
297,2012-01-27,2012,One for the Money,Comedy,Live Action,Contemporary Fiction,42000000,26414527,9782694,36197221,January
298,2012-10-19,2012,Alex Cross,Thriller/Suspense,Live Action,Contemporary Fiction,35000000,25888412,9538347,35426759,October
299,2012-07-05,2012,Katy Perry: Part of Me,Concert/Performance,Live Action,Factual,12000000,25326071,7374368,32700439,July
300,2013-11-22,2013,The Hunger Games: Catching Fire,Adventure,Live Action,Science Fiction,130000000,424668047,440200000,864868047,November
301,2013-05-03,2013,Iron Man 3,Action,Animation/Live Action,Super Hero,200000000,408992272,806400000,1215392272,May
302,2013-11-22,2013,Frozen,Musical,Digital Animation,Kids Fiction,150000000,400738009,867336243,1268074252,November
303,2013-07-03,2013,Despicable Me 2,Adventure,Digital Animation,Kids Fiction,76000000,368065385,607151450,975216835,July
304,2013-06-14,2013,Man of Steel,Action,Live Action,Super Hero,225000000,291045518,376954000,667999518,June
305,2013-10-04,2013,Gravity,Thriller/Suspense,Live Action,Contemporary Fiction,110000000,274092705,415649487,689742192,October
306,2013-06-21,2013,Monsters University,Adventure,Digital Animation,Kids Fiction,200000000,268488329,475100000,743588329,June
307,2013-12-13,2013,The Hobbit: The Desolation of Smaug,Adventure,Animation/Live Action,Fantasy,250000000,258241522,701996565,960238087,December
308,2013-05-24,2013,Fast and Furious 6,Action,Live Action,Contemporary Fiction,160000000,238679850,550620594,789300444,May
309,2013-03-08,2013,Oz the Great and Powerful,Adventure,Animation/Live Action,Fantasy,200000000,234770996,255588055,490359051,March
310,2013-05-16,2013,Star Trek Into Darkness,Adventure,Live Action,Science Fiction,190000000,228778661,238602923,467381584,May
311,2013-11-08,2013,Thor: The Dark World,Action,Live Action,Super Hero,150000000,206362140,438240376,644602516,November
312,2013-06-21,2013,World War Z,Action,Live Action,Science Fiction,190000000,202359711,329154939,531514650,June
313,2013-03-22,2013,The Croods,Adventure,Digital Animation,Kids Fiction,135000000,187168425,385900000,573068425,March
314,2013-06-28,2013,The Heat,Comedy,Live Action,Contemporary Fiction,43000000,159581587,70146187,229727774,June
315,2013-08-07,2013,We're the Millers,Comedy,Live Action,Contemporary Fiction,37000000,150394119,117422157,267816276,August
316,2013-12-13,2013,American Hustle,Black Comedy,Live Action,Dramatization,40000000,150098456,107760487,257858943,December
317,2013-05-10,2013,The Great Gatsby,Drama,Live Action,Historical Fiction,190000000,144840419,208800000,353640419,May
318,2013-07-19,2013,The Conjuring,Horror,Live Action,Fantasy,20000000,137400141,180472834,317872975,July
319,2013-02-08,2013,Identity Thief,Comedy,Live Action,Contemporary Fiction,35000000,134506920,40854658,175361578,February
320,2013-07-12,2013,Grown Ups 2,Comedy,Live Action,Contemporary Fiction,80000000,133668525,113355283,247023808,July
321,2013-07-26,2013,The Wolverine,Action,Live Action,Super Hero,115000000,132556852,283900000,416456852,July
322,2013-12-18,2013,Anchorman 2: The Legend Continues,Comedy,Live Action,Historical Fiction,50000000,127413176,44833047,172246223,December
323,2013-12-25,2013,Lone Survivor,Action,Live Action,Dramatization,40000000,125095601,24709031,149804632,December
324,2013-03-27,2013,G.I. Joe: Retaliation,Action,Animation/Live Action,Contemporary Fiction,140000000,122523060,253217645,375740705,March
325,2013-09-27,2013,Cloudy with a Chance of Meatballs 2,Adventure,Digital Animation,Kids Fiction,78000000,119793567,154599082,274392649,September
326,2013-05-31,2013,Now You See Me,Thriller/Suspense,Live Action,Contemporary Fiction,75000000,117723989,225045211,342769200,May
327,2013-12-25,2013,The Wolf of Wall Street,Black Comedy,Live Action,Dramatization,100000000,116949183,272969720,389918903,December
328,2013-08-16,2013,Lee Daniels' The Butler,Drama,Live Action,Dramatization,30000000,116632095,60393403,177025498,August
329,2013-05-23,2013,The Hangover 3,Comedy,Live Action,Contemporary Fiction,103000000,112200072,249800000,362000072,May
330,2013-05-24,2013,Epic,Adventure,Digital Animation,Kids Fiction,100000000,107518682,155275759,262794441,May
331,2013-10-11,2013,Captain Phillips,Drama,Live Action,Dramatization,55000000,107136417,113511767,220648184,October
332,2013-10-25,2013,Jackass Presents: Bad Grandpa,Comedy,Live Action,Factual,15000000,102003019,58900000,160903019,October
333,2013-07-12,2013,Pacific Rim,Action,Live Action,Science Fiction,190000000,101802906,309200000,411002906,July
334,2013-06-12,2013,This is the End,Comedy,Live Action,Science Fiction,32000000,101470202,25068915,126539117,June
335,2013-03-22,2013,Olympus Has Fallen,Thriller/Suspense,Live Action,Contemporary Fiction,70000000,98927592,73951336,172878928,March
336,2013-04-12,2013,42,Drama,Live Action,Dramatization,31000000,95020213,2450488,97470701,April
337,2013-08-09,2013,Elysium,Action,Live Action,Science Fiction,120000000,93050117,193141974,286192091,August
338,2013-08-09,2013,Disney Planes,Adventure,Digital Animation,Kids Fiction,50000000,90282580,147776989,238059569,August
339,2013-07-02,2013,The Lone Ranger,Western,Live Action,Historical Fiction,225000000,89302115,170700000,260002115,July
340,2013-04-19,2013,Oblivion,Thriller/Suspense,Live Action,Science Fiction,120000000,89107235,198809398,287916633,April
341,2013-09-13,2013,Insidious Chapter 2,Horror,Live Action,Contemporary Fiction,5000000,83586447,78335068,161921515,September
342,2013-12-13,2013,Saving Mr. Banks,Drama,Live Action,Dramatization,35000000,83299761,31662764,114962525,December
343,2013-07-17,2013,Turbo,Adventure,Digital Animation,Kids Fiction,135000000,83028130,203868448,286896578,July
344,2013-08-02,2013,2 Guns,Action,Live Action,Contemporary Fiction,61000000,75612460,56880555,132493015,August
345,2013-06-28,2013,White House Down,Thriller/Suspense,Live Action,Contemporary Fiction,150000000,73103784,132336603,205440387,June
346,2013-01-18,2013,Mama,Horror,Live Action,Fantasy,15000000,71628180,76467386,148095566,January
347,2013-02-14,2013,Safe Haven,Drama,Live Action,Contemporary Fiction,28000000,71399120,22651831,94050951,February
348,2013-07-31,2013,The Smurfs 2,Adventure,Animation/Live Action,Kids Fiction,110000000,71017784,277529739,348547523,July
349,2013-11-15,2013,The Best Man Holiday,Comedy,Live Action,Contemporary Fiction,17000000,70525195,2310515,72835710,November
350,2013-08-07,2013,Percy Jackson: Sea of Monsters,Adventure,Animation/Live Action,Fantasy,90000000,68559554,132300000,200859554,August
351,2013-02-14,2013,A Good Day to Die Hard,Action,Live Action,Contemporary Fiction,92000000,67349198,236900000,304249198,February
352,2013-02-01,2013,Warm Bodies,Romantic Comedy,Live Action,Fantasy,30000000,66380662,48740946,115121608,February
353,2013-03-01,2013,Jack the Giant Slayer,Adventure,Animation/Live Action,Fantasy,195000000,65187603,132500000,197687603,March
354,2013-06-07,2013,The Purge,Horror,Live Action,Science Fiction,3000000,64473115,26793466,91266581,June
355,2013-01-28,2013,Last Vegas,Comedy,Live Action,Contemporary Fiction,28000000,63914167,49000000,112914167,January
356,2013-11-01,2013,Ender's Game,Adventure,Live Action,Science Fiction,110000000,61737191,66246092,127983283,November
357,2013-09-20,2013,Prisoners,Thriller/Suspense,Live Action,Contemporary Fiction,46000000,61002302,52400000,113402302,September
358,2013-05-31,2013,After Earth,Action,Live Action,Science Fiction,130000000,60522097,190977568,251499665,May
359,2013-12-25,2013,The Secret Life of Walter Mitty,Adventure,Live Action,Contemporary Fiction,91000000,58236838,129624345,187861183,December
360,2013-02-15,2013,Escape From Planet Earth,Adventure,Digital Animation,Kids Fiction,40000000,57012977,17143633,74156610,February
361,2013-10-18,2013,12 Years a Slave,Drama,Live Action,Historical Fiction,20000000,56671993,124118763,180790756,October
362,2013-11-01,2013,Free Birds,Adventure,Digital Animation,Kids Fiction,55000000,55750480,54636592,110387072,November
363,2013-01-25,2013,Hansel & Gretel: Witch Hunters,Action,Live Action,Contemporary Fiction,50000000,55703475,159246241,214949716,January
364,2013-04-05,2013,Evil Dead,Horror,Live Action,Fantasy,17000000,54239856,44802091,99041947,April
365,2013-07-19,2013,RED 2,Action,Live Action,Contemporary Fiction,84000000,53262560,88244795,141507355,July
366,2013-12-13,2013,Tyler Perry's A Madea Christmas,Comedy,Live Action,Contemporary Fiction,25000000,52543354,0,52543354,December
367,2013-03-29,2013,Tyler Perryâs Temptation,Drama,Live Action,Contemporary Fiction,37000000,51975354,1167790,53143144,March
368,2013-03-15,2013,The Call,Thriller/Suspense,Live Action,Contemporary Fiction,12800000,51872378,17949098,69821476,March
369,2013-04-26,2013,Pain & Gain,Action,Live Action,Contemporary Fiction,26000000,49875291,31400000,81275291,April
370,2013-01-11,2013,Gangster Squad,Drama,Live Action,Dramatization,60000000,46000903,58100000,104100903,January
371,2013-06-07,2013,The Internship,Comedy,Live Action,Contemporary Fiction,58000000,44672764,49000000,93672764,June
372,2013-08-30,2013,No se Aceptan Devoluciones,Comedy,Live Action,Contemporary Fiction,5000000,44467206,56019410,100486616,August
373,2013-02-22,2013,Snitch,Thriller/Suspense,Live Action,Contemporary Fiction,15000000,42930462,14977272,57907734,February
374,2013-09-06,2013,Riddick,Action,Live Action,Science Fiction,38000000,42025135,52738623,94763758,September
375,2013-01-11,2013,A Haunted House,Comedy,Live Action,Multiple Creative Types,2500000,40041683,19880875,59922558,January
376,2013-12-25,2013,47 Ronin,Action,Live Action,Fantasy,175000000,38362475,113354340,151716815,December
377,2013-12-25,2013,August: Osage County,Black Comedy,Live Action,Contemporary Fiction,25000000,37738810,13000000,50738810,December
378,2013-11-22,2013,Philomena,Drama,Live Action,Contemporary Fiction,12000000,37709979,61253413,98963392,November
379,2013-09-13,2013,The Family,Black Comedy,Live Action,Contemporary Fiction,30000000,36918811,14159730,51078541,September
380,2013-12-20,2013,Walking with Dinosaurs,Adventure,Animation/Live Action,Kids Fiction,80000000,36076121,87292721,123368842,December
381,2013-10-18,2013,Carrie,Horror,Live Action,Fantasy,30000000,35266619,47142901,82409520,October
382,2013-01-04,2013,Texas Chainsaw 3D,Horror,Live Action,Contemporary Fiction,20000000,34341945,13324068,47666013,January
383,2013-07-19,2013,R.I.P.D.,Action,Live Action,Science Fiction,130000000,33618855,45457823,79076678,July
384,2013-07-26,2013,Blue Jasmine,Comedy,Live Action,Contemporary Fiction,18000000,33404871,69508090,102912961,July
385,2013-07-03,2013,Kevin Hart: Let Me Explain,Concert/Performance,Live Action,Factual,2500000,32244051,83204,32327255,July
386,2013-02-08,2013,Side Effects,Thriller/Suspense,Live Action,Science Fiction,30000000,32172757,34569381,66742138,February
387,2013-04-12,2013,Scary Movie V,Comedy,Live Action,Fantasy,20000000,32015787,46598194,78613981,April
388,2013-08-21,2013,The Mortal Instruments: City of Bones,Adventure,Live Action,Fantasy,60000000,31165421,44800146,75965567,August
389,2013-11-22,2013,Delivery Man,Comedy,Live Action,Contemporary Fiction,22000000,30659817,24956505,55616322,November
390,2013-12-25,2013,Grudge Match,Comedy,Live Action,Contemporary Fiction,40000000,29817991,40000000,69817991,December
391,2013-08-30,2013,One Direction: This is Us,Concert/Performance,Live Action,Factual,10000000,28873374,39668412,68541786,August
392,2013-08-16,2013,Kick-Ass 2,Action,Live Action,Contemporary Fiction,28000000,28795985,34333924,63129909,August
393,2013-11-01,2013,Dallas Buyers Club,Drama,Live Action,Dramatization,5000000,27298285,33313560,60611845,November
394,2013-09-20,2013,Rush,Drama,Live Action,Dramatization,38000000,26947624,71283215,98230839,September
395,2013-03-29,2013,The Host,Thriller/Suspense,Live Action,Science Fiction,50000000,26623701,37853350,64477051,March
396,2013-08-23,2013,The World's End,Comedy,Live Action,Science Fiction,20000000,26004851,21119787,47124638,August
397,2013-03-01,2013,21 and Over,Comedy,Live Action,Contemporary Fiction,13000000,25682380,16513386,42195766,March
398,2013-10-18,2013,Escape Plan,Thriller/Suspense,Live Action,Contemporary Fiction,70000000,25135965,78600000,103735965,October
399,2013-09-27,2013,Don Jon,Romantic Comedy,Live Action,Contemporary Fiction,5500000,24477704,16790875,41268579,September
400,2014-12-25,2014,American Sniper,Drama,Live Action,Dramatization,58000000,350126372,197200000,547326372,December
401,2014-11-21,2014,The Hunger Games: Mockingjay - Part 1,Thriller/Suspense,Live Action,Science Fiction,125000000,337135885,429439246,766575131,November
402,2014-08-01,2014,Guardians of the Galaxy,Action,Animation/Live Action,Super Hero,170000000,333172112,437664966,770837078,August
403,2014-04-04,2014,Captain America: The Winter Soldier,Action,Live Action,Super Hero,170000000,259746958,454654931,714401889,April
404,2014-02-07,2014,The Lego Movie,Adventure,Digital Animation,Kids Fiction,60000000,257784718,210300000,468084718,February
405,2014-12-17,2014,The Hobbit: The Battle of the Five Ar…,Adventure,Animation/Live Action,Fantasy,250000000,255119788,688209117,943328905,December
406,2014-06-27,2014,Transformers: Age of Extinction,Action,Animation/Live Action,Science Fiction,210000000,245439076,858614996,1104054072,June
407,2014-05-30,2014,Maleficent,Adventure,Live Action,Fantasy,180000000,241407328,517129407,758536735,May
408,2014-05-23,2014,X-Men: Days of Future Past,Action,Live Action,Super Hero,200000000,233921534,513941241,747862775,May
409,2014-11-07,2014,Big Hero 6,Adventure,Digital Animation,Super Hero,165000000,222527828,427159833,649687661,November
410,2014-07-11,2014,Dawn of the Planet of the Apes,Adventure,Animation/Live Action,Science Fiction,170000000,208545589,502098977,710644566,July
411,2014-05-02,2014,The Amazing Spider-Man 2,Action,Live Action,Super Hero,200000000,202853933,506142403,708996336,May
412,2014-05-16,2014,Godzilla,Action,Live Action,Science Fiction,160000000,200676069,328400000,529076069,May
413,2014-06-13,2014,22 Jump Street,Comedy,Live Action,Contemporary Fiction,50000000,191719337,139614539,331333876,June
414,2014-08-08,2014,Teenage Mutant Ninja Turtles,Adventure,Animation/Live Action,Super Hero,125000000,191204754,293800000,485004754,August
415,2014-11-05,2014,Interstellar,Adventure,Live Action,Science Fiction,165000000,188017894,466099865,654117759,November
416,2014-06-13,2014,How to Train Your Dragon 2,Adventure,Digital Animation,Fantasy,145000000,177002924,437583346,614586270,June
417,2014-10-03,2014,Gone Girl,Thriller/Suspense,Live Action,Contemporary Fiction,61000000,167767189,200800000,368567189,October
418,2014-03-21,2014,Divergent,Adventure,Live Action,Science Fiction,85000000,150947895,125067070,276014965,March
419,2014-05-09,2014,Neighbors,Comedy,Live Action,Contemporary Fiction,18000000,150086800,120857628,270944428,May
420,2014-01-17,2014,Ride Along,Comedy,Live Action,Contemporary Fiction,25000000,134202565,19531235,153733800,January
421,2014-04-11,2014,Rio 2,Adventure,Digital Animation,Kids Fiction,130000000,131538435,361307856,492846291,April
422,2014-12-25,2014,Into the Woods,Musical,Animation/Live Action,Fantasy,56200000,128002372,85114029,213116401,December
423,2014-07-25,2014,Lucy,Action,Live Action,Science Fiction,40000000,126573960,330933816,457507776,July
424,2014-06-06,2014,The Fault in Our Stars,Drama,Live Action,Contemporary Fiction,12000000,124872350,182294484,307166834,June
425,2014-12-25,2014,Unbroken,Drama,Live Action,Dramatization,65000000,115637895,47889929,163527824,December
426,2014-12-19,2014,Night at the Museum: Secret of the Tomb,Adventure,Animation/Live Action,Fantasy,127000000,113746621,240010000,353756621,December
427,2014-03-07,2014,Mr. Peabody & Sherman,Adventure,Digital Animation,Kids Fiction,145000000,111506430,158300000,269806430,March
428,2014-03-07,2014,300: Rise of an Empire,Action,Animation/Live Action,Historical Fiction,110000000,106580051,224200000,330780051,March
429,2014-09-19,2014,The Maze Runner,Thriller/Suspense,Live Action,Science Fiction,34000000,102427862,245891999,348319861,September
430,2014-09-26,2014,The Equalizer,Action,Live Action,Contemporary Fiction,55000000,101530738,91372886,192903624,September
431,2014-03-28,2014,Noah,Drama,Live Action,Historical Fiction,130000000,101200044,251631021,352831065,March
432,2014-06-06,2014,Edge of Tomorrow,Action,Live Action,Science Fiction,178000000,100206256,270335000,370541256,June
433,2014-02-28,2014,Non-Stop,Action,Live Action,Contemporary Fiction,50000000,91742160,130640895,222383055,February
434,2014-04-16,2014,Heaven is for Real,Drama,Live Action,Dramatization,12000000,91386097,9530202,100916299,April
435,2014-11-28,2014,The Imitation Game,Drama,Live Action,Dramatization,15000000,91125143,136615320,227740463,November
436,2014-11-14,2014,Dumb and Dumber To,Comedy,Live Action,Contemporary Fiction,40000000,86208010,70345582,156553592,November
437,2014-12-19,2014,Annie,Musical,Live Action,Contemporary Fiction,65000000,85911262,53918363,139829625,December
438,2014-10-17,2014,Fury,Drama,Live Action,Historical Fiction,80000000,85817906,124497775,210315681,October
439,2014-07-02,2014,Tammy,Comedy,Live Action,Contemporary Fiction,20000000,84525432,11882223,96407655,July
440,2014-10-03,2014,Annabelle,Horror,Live Action,Historical Fiction,6500000,84273813,172589107,256862920,October
441,2014-04-25,2014,The Other Woman,Comedy,Live Action,Contemporary Fiction,40000000,83911193,111200000,195111193,April
442,2014-11-26,2014,Penguins of Madagascar,Adventure,Digital Animation,Kids Fiction,132000000,83350911,283591620,366942531,November
443,2014-08-13,2014,Letâs Be Cops,Comedy,Live Action,Contemporary Fiction,17000000,82390774,54500000,136890774,August
444,2014-02-07,2014,The Monuments Men,Drama,Live Action,Historical Fiction,70000000,78031620,80671128,158702748,February
445,2014-07-25,2014,Hercules,Adventure,Live Action,Fantasy,100000000,72688614,170700000,243388614,July
446,2014-07-18,2014,The Purge: Anarchy,Thriller/Suspense,Live Action,Science Fiction,9000000,71562550,39972331,111534881,July
447,2014-10-10,2014,"Alexander and the Terrible, Horrible,…",Adventure,Live Action,Kids Fiction,28000000,66954149,34425138,101379287,October
448,2014-06-20,2014,Think Like a Man Too,Romantic Comedy,Live Action,Contemporary Fiction,24000000,65028687,4999246,70027933,June
449,2014-12-12,2014,Exodus: Gods and Kings,Drama,Live Action,Historical Fiction,140000000,65014513,203300000,268314513,December
450,2014-01-17,2014,The Nut Job,Adventure,Digital Animation,Kids Fiction,30000000,64251538,58278428,122529966,January
451,2014-03-21,2014,Godâs Not Dead,Drama,Live Action,Contemporary Fiction,1150000,60755732,3021360,63777092,March
452,2014-02-28,2014,Son of God,Drama,Live Action,Dramatization,22000000,59700064,11249729,70949793,February
453,2014-07-18,2014,Planes: Fire and Rescue,Adventure,Digital Animation,Kids Fiction,50000000,59157732,97241912,156399644,July
454,2014-03-07,2014,The Grand Budapest Hotel,Comedy,Live Action,Historical Fiction,31000000,59076019,104427495,163503514,March
455,2014-02-12,2014,RoboCop,Action,Live Action,Science Fiction,120000000,58607007,184374792,242981799,February
456,2014-10-10,2014,Dracula Untold,Action,Live Action,Fantasy,70000000,55991880,164249843,220241723,October
457,2014-11-26,2014,Horrible Bosses 2,Comedy,Live Action,Contemporary Fiction,40000000,54445357,51500000,105945357,November
458,2014-08-08,2014,The Hundred-Foot Journey,Romantic Comedy,Live Action,Contemporary Fiction,22000000,54235441,40035047,94270488,August
459,2014-09-12,2014,No Good Deed,Thriller/Suspense,Live Action,Contemporary Fiction,13200000,52543632,1779578,54323210,September
460,2014-03-21,2014,Muppets Most Wanted,Adventure,Live Action,Kids Fiction,55000000,51178893,28133408,79312301,March
461,2014-10-24,2014,Ouija,Horror,Live Action,Contemporary Fiction,5000000,50856010,52444622,103300632,October
462,2014-09-26,2014,The Boxtrolls,Adventure,Stop-Motion Animation,Kids Fiction,60000000,50837305,61061436,111898741,September
463,2014-01-17,2014,Jack Ryan: Shadow Recruit,Action,Live Action,Contemporary Fiction,60000000,50577412,80800000,131377412,January
464,2014-08-22,2014,If I Stay,Drama,Live Action,Contemporary Fiction,11000000,50474843,27881327,78356170,August
465,2014-10-17,2014,The Book of Life,Adventure,Digital Animation,Fantasy,50000000,50151543,47500000,97651543,October
466,2014-02-14,2014,About Last Night,Romantic Comedy,Live Action,Contemporary Fiction,13000000,48637684,1808176,50445860,February
467,2014-08-08,2014,Into the Storm,Thriller/Suspense,Live Action,Contemporary Fiction,50000000,47602194,102827177,150429371,August
468,2014-10-10,2014,The Judge,Drama,Live Action,Contemporary Fiction,50000000,47119388,28954168,76073556,October
469,2014-06-20,2014,Jersey Boys,Drama,Live Action,Dramatization,40000000,47047013,18235719,65282732,June
470,2014-05-23,2014,Blended,Romantic Comedy,Live Action,Contemporary Fiction,45000000,46290741,81700000,127990741,May
471,2014-08-15,2014,The Giver,Drama,Live Action,Science Fiction,25000000,45090374,21449831,66540205,August
472,2014-10-10,2014,St. Vincent,Comedy,Live Action,Contemporary Fiction,13000000,44137712,10699522,54837234,October
473,2014-03-14,2014,Need for Speed,Action,Live Action,Contemporary Fiction,66000000,43568507,150601112,194169619,March
474,2014-10-24,2014,John Wick,Action,Live Action,Contemporary Fiction,30000000,43037835,33149955,76187790,October
475,2014-05-30,2014,A Million Ways to Die in The West,Comedy,Live Action,Historical Fiction,40000000,42720965,44057592,86778557,May
476,2014-10-17,2014,Birdman or (The Unexpected Virtue of …,Black Comedy,Live Action,Contemporary Fiction,18000000,42340598,60874496,103215094,October
477,2014-09-12,2014,Dolphin Tale 2,Drama,Live Action,Kids Fiction,36000000,42024533,15800000,57824533,September
478,2014-08-15,2014,The Expendables 3,Action,Live Action,Contemporary Fiction,100000000,39322544,170138834,209461378,August
479,2014-07-02,2014,Earth to Echo,Adventure,Animation/Live Action,Kids Fiction,13000000,38934842,3239703,42174545,July
